vfg_id,vfid,gene,category
VFG037573,,(csuA) Csu pilus subunit CsuA,Unknown
VFG037650,,"(pgaA) poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA",Unknown
VFG038032,,(ACICU_RS00455*) EpsG family protein,Unknown
VFG038077,,(ACICU_RS00470*) glycosyltransferase,Unknown
VFG038356,,(aopX) hypothetical protein,Unknown
VFG038735,,(flaB) flagellin,Unknown
VFG038968,,(virB4-t1) type IV secretion system protein VirB4,Unknown
VFG045351,,(APH_RS00640*) P44/Msp2 family outer membrane protein,Unknown
VFG045352,,(APH_RS00650*) P44/Msp2 family outer membrane protein,Unknown
VFG045354,,(APH_RS00655*) P44/Msp2 family outer membrane protein,Unknown
VFG045356,,(APH_RS05935*) P44/Msp2 family outer membrane protein,Unknown
VFG045358,,(APH_RS06255*) P44/Msp2 family outer membrane protein,Unknown
VFG045363,,(APH_RS03720*) P44/Msp2 family outer membrane protein,Unknown
VFG045364,,(APH_RS04270*) P44/Msp2 family outer membrane protein,Unknown
VFG045366,,(APH_RS06070*) P44/Msp2 family outer membrane protein,Unknown
VFG045367,,(APH_RS04480*) P44/Msp2 family outer membrane protein,Unknown
VFG045380,,(APH_RS05130*) P44/Msp2 family outer membrane protein,Unknown
VFG045382,,(APH_RS06120*) P44/Msp2 family outer membrane protein,Unknown
VFG045389,,(APH_RS05905*) P44/Msp2 family outer membrane protein,Unknown
VFG045392,,(APH_RS00590*) P44/Msp2 family outer membrane protein,Unknown
VFG045397,,(APH_RS06265*) P44/Msp2 family outer membrane protein,Unknown
VFG045398,,(APH_RS06280*) P44/Msp2 family outer membrane protein,Unknown
VFG045401,,(APH_RS03560*) P44/Msp2 family outer membrane protein,Unknown
VFG045404,,(APH_RS03710*) P44/Msp2 family outer membrane protein,Unknown
VFG045405,,(APH_RS03715*) hypothetical protein,Unknown
VFG045406,,(APH_RS06535*) P44/Msp2 family outer membrane protein,Unknown
VFG045410,,(APH_RS04035*) P44/Msp2 family outer membrane protein,Unknown
VFG045412,,(APH_RS06745*) P44/Msp2 family outer membrane protein,Unknown
VFG045415,,(APH_RS04280*) P44/Msp2 family outer membrane protein,Unknown
VFG045416,,(APH_RS04295*) P44/Msp2 family outer membrane protein,Unknown
VFG045417,,(APH_RS04300*) P44/Msp2 family outer membrane protein,Unknown
